Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
8870,FLOOD,IDN71,SULAWESI UTARA,KOTA MANADO,3-Feb-96,2,3,1996,4,,,,100,,,,,,,,,1996
8867,FLOOD,IDN31,DKI JAKARTA,,9-Feb-96,2,9,1996,20,,,,,,,,,,,,,1996
8865,FLOOD,IDN71,SULAWESI UTARA,KOTA TOMOHON,23-May-96,5,23,1996,,,,2,,,,,,,,,,1996
8861,FLOOD,IDN33,JAWA TENGAH,SEMARANG,22-Oct-96,10,22,1996,13,7,,,,,,,,,,,,1996
4234,FIRE,IDN16,SUMATERA SELATAN,LAHAT,17-Apr-97,4,17,1997,,,,,,,,,175,,,,,1997
4260,FLOOD,IDN35,JAWA TIMUR,KOTA PASURUAN,27-Jan-98,1,27,1998,,,,,,,,,,,,332,1,1998
4259,FLOOD,IDN35,JAWA TIMUR,BOJONEGORO,27-Jan-98,1,27,1998,,,,,372,,,,450,,,119,1,1998
4291,FLOOD,IDN73,SULAWESI SELATAN,PINRANG,5-Apr-98,4,5,1998,3,,,70,,700,,,2000,,,,,1998
4255,FIRE,IDN13,SUMATERA BARAT,TANAH DATAR,7-Apr-98,4,7,1998,,,,,,,,,2500,,,,,1998
4292,FLOOD,IDN72,SULAWESI TENGAH,BANGGAI,11-Apr-98,4,11,1998,,,,20,27,260,,,,,,,,1998
4298,FLOOD,IDN16,SUMATERA SELATAN,LAHAT,14-Apr-98,4,14,1998,15,,7,66,,895,,,,,,,,1998
4296,FLOOD,IDN16,SUMATERA SELATAN,LAHAT,14-Apr-98,4,14,1998,4,,130,46,61,,,,200,,,,,1998
4297,FIRE,IDN16,SUMATERA SELATAN,LAHAT,15-Apr-98,4,15,1998,,,,11,,,,,,,,,,1998
4295,FLOOD,IDN16,SUMATERA SELATAN,LAHAT,17-Apr-98,4,17,1998,13,,,,,,,,,,,,,1998
4307,FIRE,IDN73,SULAWESI SELATAN,KOTA MAKASSAR,8-May-98,5,8,1998,,,,156,,1246,,,,,,,,1998
4340,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,11-May-98,5,11,1998,,,,,,,,,54,,,,,1998
4311,FLOOD,IDN32,JAWA BARAT,KOTA BEKASI,12-May-98,5,12,1998,,,,,,16800,,,,2,,30,1,1998
4312,FLOOD,IDN72,SULAWESI TENGAH,BANGGAI,13-May-98,5,13,1998,,,,137,13,750,,,,,,,,1998
4308,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,16-May-98,5,16,1998,,,,2,,,,,23355,,,,,1998
4316,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,13-Jun-98,6,13,1998,,,,1,,,,,47,,,,,1998
4335,FIRE,IDN16,SUMATERA SELATAN,BANYU ASIN,22-Jun-98,6,22,1998,,,,14,,,,,,,,,,1998
4270,FLOOD,IDN32,JAWA BARAT,CIAMIS,5-Jul-98,7,5,1998,,,,,2587,11947,,,19.65,7,,,,1998
4264,FLOOD,IDN73,SULAWESI SELATAN,BULUKUMBA,8-Jul-98,7,8,1998,,,,,,,,,100,,,,,1998
4265,FLOOD,IDN73,SULAWESI SELATAN,SIDENRENG RAPPANG,9-Jul-98,7,9,1998,,,,,,,,,,,,3018,1,1998
4266,FLOOD,IDN73,SULAWESI SELATAN,WAJO,10-Jul-98,7,10,1998,,,,1881,6453,,,,,,,,,1998
4325,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,16-Jul-98,7,16,1998,,,,2,,10,,,25.5,,,,,1998
4392,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,22-Jul-98,7,22,1998,,,,,,12,,,54.5,,,,,1998
4391,FIRE,IDN73,SULAWESI SELATAN,TANA TORAJA,22-Jul-98,7,22,1998,,,,,,11,,,56.5,,,,,1998
4331,FLOOD,IDN35,JAWA TIMUR,KEDIRI,23-Jul-98,7,23,1998,14,,3,,,15337,,,,,,,,1998
4324,FIRE,IDN12,SUMATERA UTARA,KOTA TANJUNG BALAI,23-Jul-98,7,23,1998,,,,4,,22,,,,,,,,1998
4326,FIRE,IDN73,SULAWESI SELATAN,WAJO,29-Jul-98,7,29,1998,,,,14,,140,,,650,,,,,1998
4273,FIRE,IDN31,DKI JAKARTA,KOTA JAKARTA PUSAT,15-Aug-98,8,15,1998,,,,362,,,,,,,,,,1998
4280,FLOOD,IDN76,SULAWESI BARAT,MAMUJU,23-Aug-98,8,23,1998,1,,,,,,,,25,,,20,1,1998
4281,FLOOD,IDN73,SULAWESI SELATAN,LUWU,23-Aug-98,8,23,1998,,,,,25,,,,,,,,,1998
