Province,Island
BANGKA-BELITUNG,Sumatra
BENGKULU,Sumatra
JAMBI,Sumatra
KEPULAUAN RIAU,Sumatra
LAMPUNG,Sumatra
PEMERINTAH ACEH,Sumatra
RIAU,Sumatra
BANTEN,Java
DI YOGYAKARTA,Java
GORONTALO,Sulawesi
DKI JAKARTA,Java
JAWA BARAT,Java
JAWA TENGAH,Java
JAWA TIMUR,Java
SULAWESI BARAT,Sulawesi
SULAWESI SELATAN,Sulawesi
SULAWESI TENGAH,Sulawesi
SULAWESI TENGGARA,Sulawesi
SULAWESI UTARA,Sulawesi
SUMATERA BARAT,Sumatra
SUMATERA SELATAN,Sumatra
SUMATERA UTARA,Sumatra
KALIMANTAN BARAT,Kalimantan
KALIMANTAN SELATAN,Kalimantan
KALIMANTAN TENGAH,Kalimantan
KALIMANTAN TIMUR,Kalimantan
