Event,Province,Code,Date,Month,Day,Year, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Victims, Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Agriculture, Power and Energy, Relief, Plantation/Forest
FLOODS,JAWA TENGAH,33,1/27/1990,1,27,1990,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,2/2/1990,2,2,1990,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,9/12/1990,9,12,1990,1,77,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,12/27/1993,12,27,1993,1,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,1/4/1994,1,4,1994,1,0,0,0,0,0,0,0,0,0,0,0,105,1,0,0,0
FLOODS,JAWA BARAT,32,1/12/1994,1,12,1994,1,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,1/31/1994,1,31,1994,1,0,0,0,48,300,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TIMUR,35,3/28/1994,3,28,1994,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SUMATERA UTARA,12,4/23/1994,4,23,1994,1,8,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0
FLOODS,DKI JAKARTA,31,6/13/1994,6,13,1994,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,6/13/1994,6,13,1994,2,0,0,0,0,1304,0,0,0,0,0,0,600,1,0,0,0
FLOODS,JAWA TENGAH,33,6/13/1994,6,13,1994,1,2,0,0,0,0,0,0,0,0,0,0,600,1,0,0,0
FLOODS,JAWA TIMUR,35,6/13/1994,6,13,1994,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SUMATERA BARAT,13,6/13/1994,6,13,1994,1,0,0,0,0,0,0,0,0,0,0,0,200,1,0,0,0
FLOODS,JAWA BARAT,32,9/22/1994,9,22,1994,2,6,1,0,0,201,0,0,0,0,0,0,2030,2,0,0,0
FLOODS,JAWA TENGAH,33,9/22/1994,9,22,1994,1,0,0,0,0,25,0,0,0,0,0,0,1300,1,0,0,0
FLOODS,RIAU,14,10/12/1994,10,12,1994,1,3,0,0,0,0,0,60000,0,0,0,0,0,0,0,0,0
FLOODS,BENGKULU,17,5/7/1995,5,7,1995,1,27,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0
FLOODS,JAMBI,15,10/7/1995,10,7,1995,1,84,1868,0,0,7137,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI UTARA,71,2/3/1996,2,3,1996,1,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
FLOODS,DKI JAKARTA,31,2/9/1996,2,9,1996,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,10/22/1996,10,22,1996,1,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,4/17/1997,4,17,1997,1,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0
FLOODS,JAWA TIMUR,35,1/27/1998,1,27,1998,2,0,0,0,0,372,0,0,0,0,0,450,451,2,0,0,0
FLOODS,PEMERINTAH ACEH,11,4/1/1998,4,1,1998,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,4/5/1998,4,5,1998,1,3,0,0,70,0,0,700,0,0,0,2000,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,4/6/1998,4,6,1998,1,1,0,0,17,0,0,105,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA BARAT,13,4/7/1998,4,7,1998,1,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0
FIRE,KALIMANTAN BARAT,61,4/9/1998,4,9,1998,1,0,0,0,12,0,0,66,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI TENGAH,72,4/11/1998,4,11,1998,1,0,0,0,20,27,0,260,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,4/12/1998,4,12,1998,1,0,0,0,34,0,0,117,0,0,0,0,0,0,0,0,0
FLOODS,SUMATERA SELATAN,16,4/14/1998,4,14,1998,2,19,0,137,112,61,0,895,0,0,0,200,0,0,0,0,0
FIRE,JAMBI,15,4/15/1998,4,15,1998,1,0,0,0,25,0,0,132,0,0,0,100,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,4/15/1998,4,15,1998,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN BARAT,61,4/16/1998,4,16,1998,1,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0
FLOODS,SUMATERA SELATAN,16,4/17/1998,4,17,1998,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN BARAT,61,4/18/1998,4,18,1998,1,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,4/19/1998,4,19,1998,1,0,0,0,12,0,0,66,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,5/1/1998,5,1,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,5/8/1998,5,8,1998,1,0,0,0,156,0,0,1246,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,5/11/1998,5,11,1998,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,5/12/1998,5,12,1998,1,0,0,0,47,0,0,173,0,0,0,1000,1,1,0,0,0
FLOODS,JAWA BARAT,32,5/12/1998,5,12,1998,1,0,0,0,0,0,0,16800,0,0,0,0,30,1,0,0,0
FLOODS,SULAWESI TENGAH,72,5/13/1998,5,13,1998,1,0,0,0,137,13,0,750,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,5/16/1998,5,16,1998,1,0,0,0,2,0,0,0,0,0,0,23355,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,5/21/1998,5,21,1998,1,0,0,0,12,0,0,50,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,5/28/1998,5,28,1998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,6/13/1998,6,13,1998,1,0,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,6/16/1998,6,16,1998,1,0,0,0,26,0,0,156,0,0,0,0,0,0,0,0,0
FIRE,RIAU,14,6/22/1998,6,22,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,6/22/1998,6,22,1998,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,6/25/1998,6,25,1998,2,45,0,0,34,5,0,0,0,0,0,649.4,0,0,0,0,0
FIRE,KALIMANTAN BARAT,61,6/25/1998,6,25,1998,2,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,7/1/1998,7,1,1998,1,0,0,0,2,0,0,0,0,0,0,46256,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,7/1/1998,7,1,1998,1,0,0,0,1881,4572,0,9405,0,0,0,700,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,7/2/1998,7,2,1998,1,0,0,0,34,0,0,150,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,7/5/1998,7,5,1998,1,0,0,0,0,2587,0,11947,0,0,0,19.65,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,7/5/1998,7,5,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,7/7/1998,7,7,1998,1,0,0,0,4,5,0,0,0,0,0,18.75,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,7/8/1998,7,8,1998,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,7/9/1998,7,9,1998,3,0,0,0,186,0,0,1535,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,7/9/1998,7,9,1998,1,0,0,0,0,0,0,0,0,0,0,0,3018,1,0,0,0
FLOODS,SULAWESI SELATAN,73,7/10/1998,7,10,1998,1,0,0,0,1881,6453,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,7/12/1998,7,12,1998,1,1,0,0,5,0,0,0,0,0,0,20,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,7/15/1998,7,15,1998,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,7/16/1998,7,16,1998,1,0,0,0,2,0,0,10,0,0,0,25.5,0,0,0,0,0
FLOODS,RIAU,14,7/19/1998,7,19,1998,1,0,0,0,0,0,0,2981,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,7/22/1998,7,22,1998,2,0,0,0,0,0,0,23,0,0,0,111,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,7/23/1998,7,23,1998,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA UTARA,12,7/23/1998,7,23,1998,1,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TIMUR,35,7/23/1998,7,23,1998,1,14,0,3,0,0,0,15337,0,0,0,0,0,0,0,0,65
FIRE,KALIMANTAN TIMUR,64,7/24/1998,7,24,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN BARAT,61,7/26/1998,7,26,1998,1,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,7/27/1998,7,27,1998,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,7/27/1998,7,27,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,7/29/1998,7,29,1998,1,0,0,0,14,0,0,140,0,0,0,650,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,7/31/1998,7,31,1998,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,DKI JAKARTA,31,8/15/1998,8,15,1998,1,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,8/21/1998,8,21,1998,1,0,0,0,35,0,0,123,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI BARAT,76,8/23/1998,8,23,1998,1,1,0,0,0,0,0,0,0,0,0,25,20,1,0,0,0
FLOODS,SULAWESI SELATAN,73,8/23/1998,8,23,1998,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,8/26/1998,8,26,1998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA UTARA,12,8/29/1998,8,29,1998,1,0,0,0,0,0,0,319,0,0,0,83.6655,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,9/6/1998,9,6,1998,1,0,0,0,0,3,0,0,0,0,0,500,0,0,0,0,0
FLOODS,SULAWESI TENGAH,72,9/7/1998,9,7,1998,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,9/9/1998,9,9,1998,1,0,0,0,7,41,0,0,0,0,0,300,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,9/11/1998,9,11,1998,2,3,0,0,172,1,0,0,0,0,0,10,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,9/13/1998,9,13,1998,2,0,0,0,43,43,0,0,0,0,0,1000,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,9/29/1998,9,29,1998,1,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,10/2/1998,10,2,1998,1,0,0,0,104,0,0,370,0,0,0,200,285,1,0,0,0
FIRE,PEMERINTAH ACEH,11,10/7/1998,10,7,1998,1,0,0,0,9,0,0,60,0,0,0,16.45,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,10/7/1998,10,7,1998,1,0,0,0,181,0,0,748,0,0,0,0,0,0,0,0,0
FLOODS,DI YOGYAKARTA,34,10/7/1998,10,7,1998,1,0,0,0,14,0,0,0,0,0,0,29,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,10/9/1998,10,9,1998,1,0,0,0,7,0,0,41,0,0,0,300,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,10/18/1998,10,18,1998,1,1,0,0,0,0,0,7794,0,0,0,510,715,1,0,0,0
FIRE,SULAWESI SELATAN,73,10/18/1998,10,18,1998,1,0,0,0,0,0,0,8,0,0,0,20,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,10/19/1998,10,19,1998,1,0,0,0,3,0,0,10,0,0,0,170,0,0,0,0,0
FIRE,BENGKULU,17,10/27/1998,10,27,1998,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,RIAU,14,10/28/1998,10,28,1998,1,0,0,0,62,0,0,227,0,0,0,310,0,0,0,0,0
FIRE,KALIMANTAN BARAT,61,10/28/1998,10,28,1998,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,10/30/1998,10,30,1998,1,0,0,0,0,0,0,0,0,0,0,70.15,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,11/13/1998,11,13,1998,1,0,0,0,5,3,0,65,0,0,0,10,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,11/17/1998,11,17,1998,1,0,0,0,300,0,0,40,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,11/17/1998,11,17,1998,1,0,0,0,0,0,0,3560,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,11/23/1998,11,23,1998,1,0,0,0,57,0,0,279,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,11/23/1998,11,23,1998,1,0,0,0,65,0,0,945,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN SELATAN,63,11/27/1998,11,27,1998,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,12/2/1998,12,2,1998,1,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,12/3/1998,12,3,1998,3,0,0,0,71,0,0,450,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,12/10/1998,12,10,1998,1,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,12/11/1998,12,11,1998,1,0,0,0,25,0,0,0,0,0,0,350,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,12/11/1998,12,11,1998,1,0,0,0,22,0,0,197,0,0,0,0,0,0,0,0,0
FLOODS,JAWA BARAT,32,12/18/1998,12,18,1998,1,0,0,0,0,104,0,1450,0,0,0,70,30,1,0,0,0
FIRE,PEMERINTAH ACEH,11,12/21/1998,12,21,1998,1,0,0,0,18,0,0,115,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,12/27/1998,12,27,1998,1,5,0,0,83,2703,0,3311,0,0,0,49.5975,991,1,0,0,0
FIRE,PEMERINTAH ACEH,11,12/30/1998,12,30,1998,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,12/31/1998,12,31,1998,1,0,0,0,5,0,0,0,0,0,0,300,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,1/2/1999,1,2,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,BANTEN,36,1/2/1999,1,2,1999,1,0,0,0,0,1126,0,0,0,0,0,67,0,0,0,0,0
FIRE,SUMATERA SELATAN,16,1/2/1999,1,2,1999,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,1/2/1999,1,2,1999,5,5,0,0,43,0,0,0,0,0,0,4750,8200,2,0,0,0
FLOODS,KALIMANTAN SELATAN,63,1/3/1999,1,3,1999,1,0,0,0,6,0,0,0,0,0,0,90,0,0,0,0,0
FLOODS,JAWA TIMUR,35,1/20/1999,1,20,1999,1,0,0,0,15,0,0,0,0,0,0,12.15,0,0,0,0,0
FLOODS,JAWA TENGAH,33,1/30/1999,1,30,1999,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,2/4/1999,2,4,1999,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI TENGGARA,74,2/8/1999,2,8,1999,1,0,0,1,23,0,0,0,0,0,0,1200,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,2/10/1999,2,10,1999,1,0,0,0,18,0,0,0,0,0,0,2000,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,2/16/1999,2,16,1999,1,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,2/18/1999,2,18,1999,1,0,0,0,30,0,0,0,0,0,0,50,0,0,0,0,0
FIRE,BENGKULU,17,2/19/1999,2,19,1999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,2/23/1999,2,23,1999,1,0,0,0,714,0,0,196,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,2/27/1999,2,27,1999,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAWA BARAT,32,3/7/1999,3,7,1999,1,0,0,0,38,15,0,235,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TIMUR,35,3/7/1999,3,7,1999,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,3/13/1999,3,13,1999,1,0,0,0,14,0,0,98,0,0,0,12,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,3/13/1999,3,13,1999,1,3,0,0,1,0,0,20,0,0,0,100,0,0,0,0,0
FLOODS,DI YOGYAKARTA,34,3/14/1999,3,14,1999,1,0,0,0,4,0,0,3090,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN SELATAN,63,3/16/1999,3,16,1999,1,0,0,0,0,0,0,10410,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TIMUR,35,3/16/1999,3,16,1999,1,0,0,0,20,0,0,1800,0,0,0,1200,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,3/16/1999,3,16,1999,1,0,0,0,3,0,0,21,0,0,0,20,0,0,0,0,0
FIRE,BENGKULU,17,3/20/1999,3,20,1999,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,3/20/1999,3,20,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,JAWA TENGAH,33,3/20/1999,3,20,1999,1,0,0,0,0,0,0,5468,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA UTARA,12,3/23/1999,3,23,1999,1,0,0,0,32,0,0,179,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI UTARA,71,3/24/1999,3,24,1999,1,2,0,0,9,101,0,0,0,0,0,0,0,0,0,0,0
FLOODS,KALIMANTAN TIMUR,64,3/27/1999,3,27,1999,1,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,4/3/1999,4,3,1999,1,0,0,0,25,54,0,882,0,0,0,3.5,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,4/24/1999,4,24,1999,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TENGAH,62,6/2/1999,6,2,1999,1,0,0,0,27,0,0,149,0,0,0,750,0,0,0,0,0
FIRE,PEMERINTAH ACEH,11,6/6/1999,6,6,1999,2,0,0,0,0,0,0,43600,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,6/7/1999,6,7,1999,1,0,0,0,219,0,0,0,0,0,0,1000,0,0,0,0,0
FIRE,BENGKULU,17,6/8/1999,6,8,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SULAWESI SELATAN,73,6/13/1999,6,13,1999,1,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0
FIRE,BENGKULU,17,6/16/1999,6,16,1999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA UTARA,12,6/16/1999,6,16,1999,1,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,JAMBI,15,6/17/1999,6,17,1999,1,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,6/19/1999,6,19,1999,1,0,0,0,22,0,0,93,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA UTARA,12,6/21/1999,6,21,1999,1,0,0,0,75,0,0,0,0,0,0,750,0,0,0,0,0
FLOODS,JAWA BARAT,32,6/21/1999,6,21,1999,1,0,0,0,8,0,0,1030,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN SELATAN,63,6/24/1999,6,24,1999,1,5,0,0,16,0,0,96,0,0,0,0,0,0,0,0,0
FIRE,BENGKULU,17,6/28/1999,6,28,1999,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FLOODS,PEMERINTAH ACEH,11,6/30/1999,6,30,1999,1,0,0,0,10,43,0,10670,0,0,0,4000,0,0,0,0,0
FLOODS,SULAWESI TENGGARA,74,7/3/1999,7,3,1999,1,0,0,0,0,307,0,10176,0,0,0,2000,96,1,0,0,0
FIRE,SULAWESI SELATAN,73,7/4/1999,7,4,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE,KALIMANTAN TIMUR,64,7/5/1999,7,5,1999,1,0,0,0,47,0,0,258,0,0,0,0,0,0,0,0,0
FLOODS,SULAWESI SELATAN,73,7/16/1999,7,16,1999,1,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
FIRE,SUMATERA BARAT,13,7/17/1999,7,17,1999,1,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0
